[LogTimer] _speedRateByMouseEvents = -1.418783, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.692592, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.818077, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.808972, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.863429, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.975103, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.821218, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.753243, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.653074, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.600712, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.448188, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.114612, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.030985, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.912561, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.847512, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.638181, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.598149, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.522073, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.460361, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.340551, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.293708, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.265358, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.223500, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.203975, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.151073, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.151073, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.108949, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.097880, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.086832, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.059000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.044997, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.023349, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.023349, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.004933, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.000305, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.008456, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.031733, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.048922, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.069227, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.089847, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.110667, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.216010, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.216010, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.401403, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.612616, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.890753, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 1.349380, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 1.566959, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 1.777277, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 2.263586, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 2.385115, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 2.446289, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 2.562256, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 2.643465, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 2.540719, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 2.326606, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 1.908142, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 1.743444, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 1.607381, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 1.123463, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.996546, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.847022, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.737890, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.471289, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.365379, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.292594, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.229153, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.159084, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.064523, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.041513, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.026080, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.009088, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.002252, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.002252, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = 0.000000, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.001801, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.001801, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.001801, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.001801, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.004993, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.004993, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.004993, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.008458, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.008458, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.011681, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.009880, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.009880, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.013719, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.013719, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.018517, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.023017, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.027466, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.028310, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.032609, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.033697, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.042413, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.056110, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.063881, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.085026, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.103604, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.133088, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.239504, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.321838, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.418974, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.536793, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.672928, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.081054, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.303835, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.527144, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.757925, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -2.178068, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -2.270315, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -2.433599, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -2.577048, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -2.848240, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -2.703389, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -2.559601, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -2.453873, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -2.313326, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -2.168961, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.714835, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.644058, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.448422, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -1.261274, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.957482, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.995408, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.753611, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.624948, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.544397, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.455060, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.460332, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.340621, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.286329, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.232942, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.147828, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.109901, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
[LogTimer] _speedRateByMouseEvents = -0.073664, _speedRateByScrollEvents = 0.000000, _speedRateByTouchEvents = 1.000000 target=1.000000
