2026-09-15 15:52:41.501152	0.0	0
2026-09-15 15:52:41.507236	0.0	0
2026-09-15 15:52:41.517167	0.0	0
2026-09-15 15:52:41.527321	0.0	0
2026-09-15 15:52:41.537245	-0.164297	0
2026-09-15 15:52:41.551999	-0.385006	0
2026-09-15 15:52:41.557290	-0.443132	0
2026-09-15 15:52:41.567219	-0.463221	0
2026-09-15 15:52:41.577161	-0.551706	0
2026-09-15 15:52:41.587346	-0.623105	0
2026-09-15 15:52:41.597313	-0.710174	0
2026-09-15 15:52:41.611053	-0.769157	0
2026-09-15 15:52:41.617229	-0.798666	0
2026-09-15 15:52:41.627288	-0.814164	0
2026-09-15 15:52:41.637283	-0.819097	0
2026-09-15 15:52:41.648787	-0.824226	0
2026-09-15 15:52:41.657162	-0.820592	0
2026-09-15 15:52:41.667237	-0.791369	0
2026-09-15 15:52:41.677371	-0.78151	0
2026-09-15 15:52:41.687319	-0.642826	0
2026-09-15 15:52:41.697289	-0.428774	0
2026-09-15 15:52:41.707287	-0.25733	0
2026-09-15 15:52:41.717238	-0.057223	0
2026-09-15 15:52:41.727356	0.130244	0
2026-09-15 15:52:41.737354	0.336288	0
2026-09-15 15:52:41.747505	0.5599	0
2026-09-15 15:52:41.758873	0.674454	0
2026-09-15 15:52:41.767257	0.77355	0
2026-09-15 15:52:41.777160	0.814261	0
2026-09-15 15:52:41.787306	0.819007	0
2026-09-15 15:52:41.801178	0.794451	0
2026-09-15 15:52:41.808924	0.704876	0
2026-09-15 15:52:41.817219	0.62218	0
2026-09-15 15:52:41.827287	0.568908	0
2026-09-15 15:52:41.837347	0.542502	0
2026-09-15 15:52:41.849795	0.519811	0
2026-09-15 15:52:41.857307	0.280786	0
2026-09-15 15:52:41.867274	0.117649	0
2026-09-15 15:52:41.877315	0.078965	0
2026-09-15 15:52:41.887540	-0.011281	0
2026-09-15 15:52:41.898888	-0.205379	0
2026-09-15 15:52:41.910973	-0.302055	0
2026-09-15 15:52:41.917181	-0.36732	0
2026-09-15 15:52:41.927308	-0.425545	0
2026-09-15 15:52:41.937277	-0.522449	0
2026-09-15 15:52:41.947308	-0.559484	0
2026-09-15 15:52:41.959151	-0.552009	0
2026-09-15 15:52:41.967217	-0.530185	0
2026-09-15 15:52:41.977355	-0.490928	0
2026-09-15 15:52:41.987374	-0.477901	0
2026-09-15 15:52:41.997339	-0.332425	0
2026-09-15 15:52:42.007181	-0.215476	0
2026-09-15 15:52:42.017911	-0.150438	0
2026-09-15 15:52:42.027365	-0.042295	0
2026-09-15 15:52:42.037292	0.103829	0
2026-09-15 15:52:42.050640	0.232109	0
2026-09-15 15:52:42.057284	0.358192	0
2026-09-15 15:52:42.067193	0.446517	0
2026-09-15 15:52:42.077300	0.553121	0
2026-09-15 15:52:42.087245	0.600771	0
2026-09-15 15:52:42.097276	0.628952	0
2026-09-15 15:52:42.108529	0.614812	0
2026-09-15 15:52:42.117217	0.611101	0
2026-09-15 15:52:42.127341	0.561748	0
2026-09-15 15:52:42.137281	0.499857	0
2026-09-15 15:52:42.147280	0.456155	0
2026-09-15 15:52:42.157284	0.399487	0
2026-09-15 15:52:42.167207	0.339152	0
2026-09-15 15:52:42.177568	0.323497	0
2026-09-15 15:52:42.187325	0.273817	1
2026-09-15 15:52:42.200375	0.242815	1
2026-09-15 15:52:42.209456	0.223519	1
2026-09-15 15:52:42.220788	0.201175	1
2026-09-15 15:52:42.227288	0.189476	1
2026-09-15 15:52:42.237304	0.172789	1
2026-09-15 15:52:42.247298	0.157587	1
2026-09-15 15:52:42.257313	0.143705	1
2026-09-15 15:52:42.267242	0.131156	1
2026-09-15 15:52:42.277319	0.119525	1
2026-09-15 15:52:42.287318	0.109034	1
2026-09-15 15:52:42.297298	0.099444	1
2026-09-15 15:52:42.307796	0.090329	1
2026-09-15 15:52:42.317899	0.082283	1
2026-09-15 15:52:42.327399	0.075416	1
2026-09-15 15:52:42.337408	0.068764	1
2026-09-15 15:52:42.347311	0.062743	1
2026-09-15 15:52:42.357319	0.057222	1
2026-09-15 15:52:42.367197	0.052243	1
2026-09-15 15:52:42.377295	0.047606	1
2026-09-15 15:52:42.387274	0.043425	1
2026-09-15 15:52:42.400847	0.038327	1
2026-09-15 15:52:42.407305	0.036112	1
2026-09-15 15:52:42.417207	0.032964	1
2026-09-15 15:52:42.427294	0.030042	1
2026-09-15 15:52:42.437496	0.027369	1
2026-09-15 15:52:42.449992	0.024387	1
2026-09-15 15:52:42.458102	0.022622	1
2026-09-15 15:52:42.467212	0.0208	1
2026-09-15 15:52:42.477294	0.018956	1
2026-09-15 15:52:42.487333	0.01729	1
2026-09-15 15:52:42.499592	0.015438	1
2026-09-15 15:52:42.508233	0.014258	1
2026-09-15 15:52:42.517221	0.013126	1
2026-09-15 15:52:42.527347	0.011961	1
2026-09-15 15:52:42.537344	0.010909	1
2026-09-15 15:52:43.457299	0.0	0
2026-09-15 15:52:43.467202	0.0	0
2026-09-15 15:52:43.477299	-0.908588	0
2026-09-15 15:52:43.487397	-0.895452	0
2026-09-15 15:52:43.497463	-1.020106	0
2026-09-15 15:52:43.507342	-1.095055	0
2026-09-15 15:52:43.517271	-1.158463	0
2026-09-15 15:52:43.527313	-1.204541	0
2026-09-15 15:52:43.537364	-1.280689	0
2026-09-15 15:52:43.551963	-1.339353	0
2026-09-15 15:52:43.557280	-1.380623	0
2026-09-15 15:52:43.567193	-1.476929	0
2026-09-15 15:52:43.577301	-1.345709	1
2026-09-15 15:52:43.587301	-1.227358	1
2026-09-15 15:52:43.600766	-1.084879	1
2026-09-15 15:52:43.607706	-1.017161	1
2026-09-15 15:52:43.617208	-0.931973	1
2026-09-15 15:52:43.627417	-0.848315	1
2026-09-15 15:52:43.637248	-0.774933	1
2026-09-15 15:52:43.649148	-0.694498	1
2026-09-15 15:52:43.657330	-0.644131	1
2026-09-15 15:52:43.667241	-0.587918	1
2026-09-15 15:52:43.677335	-0.535902	1
2026-09-15 15:52:43.687328	-0.488735	1
2026-09-15 15:52:43.700493	-0.432903	1
2026-09-15 15:52:43.707304	-0.406482	1
2026-09-15 15:52:43.717202	-0.371111	1
2026-09-15 15:52:43.727294	-0.338151	1
2026-09-15 15:52:43.737173	-0.308796	1
2026-09-15 15:52:43.748845	-0.277328	1
2026-09-15 15:52:43.757154	-0.256877	1
